sample_id,class_label,observation_group_id,geographic_group_id,terrain_provenance_id,survey_year,source_resolution_m,patch_size_m,sampling_algorithm_version,processing_version,sampling_stratum,acquisition_status,raw_qa_status,representation_qa_status,qa_status,raw_sha256,patch_sha256,processed_sha256,cross_cell
E001B-cb9ddeb225ef,unlabelled_background,E001G-0e15e84eb57d,BNG_100KM_E3_N3,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-be0176d00600,verified,pass,pass,pass,2d44c51fe7cede5f209adee722ca4c037bc77612d12a44eb1d7df1b41e491e4e,8974fd322e12c25e508d7561b3a4644ae587874c82fca2aa0fe54dc14f13d855,4f2f4f595f082935759b033e5e5d09734aa06a2c0c366680b7f9d0d80876c849,False
E001B-32a9c508229e,unlabelled_background,E001G-be1faeebeb38,BNG_100KM_E4_N1,EAP-71ad6a50942e,2021,1.0,128,e001-background-v1,e001-terrain-v1,E001S-1b299ac6f646,verified,pass,pass,pass,ed3184884082515ae3ef4fd599d04b86bea794c250ca1379254fbe238220d3a2,d623bbfd14cad194f5444ba5f9641004991a76d916b355130a0c7438c26da64e,647e04125e907c7dbf6659bf39d8b2b34900bb0828a12189320cf79dc0ea48a8,False
E001B-96e96c5bf9a5,unlabelled_background,E001G-7a3a953f8a46,BNG_100KM_E6_N2,EAP-d3a871d4f09e,2019,1.0,128,e001-background-v1,e001-terrain-v1,E001S-3c55629c9695,verified,pass,pass,pass,cbb03db3cba50a0cbfdab879ebd383aced197c98b7dd95170ebbf88db4a73828,44b1ead27cb58f3129db6a391280da54070fb1006c31221ced5151be41ca867e,e9053396002c30076e6b6469fe89a7f5371bbce5157be228afd06f99a4a3fd5c,False
E001B-de21605df26d,unlabelled_background,E001G-d5b1d653aa5f,BNG_100KM_E5_N2,EAP-d85b0f0821f9,2018,1.0,128,e001-background-v1,e001-terrain-v1,E001S-666ee1c1772f,verified,pass,pass,pass,286cd4dbc4eab6dc9de1c8c7036422350a7fa951880ec74df86b76e1d27df4c1,a614fcd36ba1cb146840d8bed743b81285358be3e6250fdf4920de0f4a639d47,12c84a19240e54de8be0a3ab38a88b91a10a33b25fc2d091ab803c151db6b7a8,False
E001B-ea8dfdb35f73,unlabelled_background,E001G-274fb4c67521,BNG_100KM_E4_N5,EAP-4f02812edece,2016,1.0,128,e001-background-v1,e001-terrain-v1,E001S-e279d1be0f79,verified,pass,pass,pass,125f91244be63936723fc78756a72c60f27dfb22168d765e866df6ad8c0dd53b,b2121bf56e4c018bb948c3ae76de4639dd793093050bf2411c1fd4a488624e9b,7189b024a0a8f303363f993ba039a1be1f8c3078b4bd8da31d5dda1fe742abd2,False
E001B-838fa9cde7be,unlabelled_background,E001G-a57304826f0f,BNG_100KM_E6_N1,EAP-8e32eccbc87e,2017,1.0,128,e001-background-v1,e001-terrain-v1,E001S-2b8004d55b0b,verified,pass,pass,pass,f3d42c2570defa65fb995a1122c02fea7e254dd696bce2013fe4077e6ac7c12e,e6bbbbede6c65b5badd2bbf690439eb9600e39be985be57fd85c926b0bb8e411,43a84480ea554d809f9b50f6e5732f89b606884d4cbc3f491b996983beceee1f,False
E001B-e8da7748dc8e,unlabelled_background,E001G-ca719b591f83,BNG_100KM_E3_N4,EAP-a800a13742ee,2022,1.0,128,e001-background-v1,e001-terrain-v1,E001S-2dbc035b11fd,verified,pass,pass,pass,200037b1042d85d9a64805c1170dbe2f656a0b794f68ac129e24193bec32b348,35a0f2f1f8e3ad43223c28d3266eaf822fb93119fb5fa119c5c7997e0a6eb1b2,e6182e4301118377cb92012d406aa8b959eb3f37ffc220e7521555544427b8c5,False
E001B-526ff4fbe695,unlabelled_background,E001G-f09e7fd58b79,BNG_100KM_E4_N5,EAP-fa2ffbdc01b2,2009,1.0,128,e001-background-v1,e001-terrain-v1,E001S-82a714a8d97a,verified,pass,pass,pass,67ff618f508283d579a9ed45330c92ef184394476cbadf07d375bb6872d0faa5,3c29cda822e522271244afc35c1a096035a0bf7fb3b5b2aea5f0297f244b059f,b5986ede2f5e0ceb8f67486b412f58d323bbac523fc598bcd1c482418eb24bdc,False
E001B-d6a9bca258f1,unlabelled_background,E001G-7acaaf66d519,BNG_100KM_E5_N4,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-fca41d116b9c,verified,pass,pass,pass,31a5104a0c5a54d1ae28c098bdb6bb05d1bbb857b7744b685d9c3db97eb4f8fd,55a7982ebcb832b318c4fb41e4d3ae4348400367c6269417292bfb321cfad16e,d400731873da444660cc631f09f8c5c6f5f75b743b0716c0160abc61bc5120be,False
E001B-1e3d91532468,unlabelled_background,E001G-8a234eed9130,BNG_100KM_E4_N2,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-fbe7600f2fbe,verified,pass,pass,pass,530abc428e30d893e3e7747ce7adfce943516008124e84630e04e9d11f2dd56a,fab1345ccc8d812155bea64837851e4c04cb89eb77ad4e2296939d1e0ccb2ca2,49b07b9d3baf6b246471fb31b7ab1352aeb7144781b8910702d29b60204d76a5,False
E001B-a07f09a19d4d,unlabelled_background,E001G-da538fa03a22,BNG_100KM_E3_N2,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-87492d753efc,verified,pass,pass,pass,33a81268031eeb99be2adeeb2ad536c7f0d9747ba0e068d0976a9aa406e5e809,1485fe3261153fc11772a76f9c9ceea54c35da73e96f04a68e4872ae578d58fa,5a3ece8464b19d47618cfdb9c8ea8c77dd4134ca0edc754f4b69494942fe7328,False
E001B-13c9d17b51b6,unlabelled_background,E001G-b73a12e8ad71,BNG_100KM_E4_N3,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-9dc812f5bb39,verified,pass,pass,pass,fad2e21ef0dd5686d40aba106da57431c408bb7673991cf0a04122d9417f512b,5f342ce504a53d713489ee2cb961d8bde38ad8d8466853daf78e2a06e80b6382,f1912bebfb90533e7bf3691bbc0866dbf11eed08f8bd77d690975e91ab5d07e6,False
E001B-f1d06b15b4af,unlabelled_background,E001G-4dd1d735589e,BNG_100KM_E2_N0,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-b1e5d5405380,verified,pass,pass,pass,d87fd969c3e80bd270ea53455cfcf885e68c6a5c042a83705fef4c8472fb2782,e7dc2e9dc331964c25f252385b126ee14dad6c46230603b49342ffa1590ea82f,8add2e10f0feba18f99def3cfde42870ce1f7f9f3c5f25de15b003a60da03253,False
E001B-9094f58f7445,unlabelled_background,E001G-f309a71368ff,BNG_100KM_E4_N4,EAP-d85b0f0821f9,2018,1.0,128,e001-background-v1,e001-terrain-v1,E001S-c7691a1cdedd,verified,pass,pass,pass,30cdee554ffc1c6107d08c5f16733265b3f47416082066d7af15132e9bbeb295,b16a57d43ac0c9e917acc04dbec72c32a9abb71efb2a2366187290dcc918a8d9,d6b5f4eeadb5231e118052de6062d75f1b54fa0fb1c8891f98868661d8f90611,False
E001B-23f2c7527e50,unlabelled_background,E001G-b4c6550acd98,BNG_100KM_E3_N1,EAP-d3a871d4f09e,2019,1.0,128,e001-background-v1,e001-terrain-v1,E001S-d67568e5801c,verified,pass,pass,pass,a8c39ef11fc5a6e93c6f8edfad636e82feb369aadb43a10bc89b54807a677a5c,3c617ffc62da28a24205578b779e9be13ec0abdce6a6cc4fe5cf0f634c378a52,85a897a153a449cf8c312e368f91ae9a575df057a2e11b3b6d058002a01f251d,False
E001B-ad44a8ef1b75,unlabelled_background,E001G-b45c6c609f64,BNG_100KM_E3_N5,EAP-71ad6a50942e,2021,1.0,128,e001-background-v1,e001-terrain-v1,E001S-219aa7e13445,verified,pass,pass,pass,c439a87f775ed94ede5f1bf3ccf12492f8da9bafbd595d7f7b5b754c0ea4c33e,284f1d9c4f590b44afdc94dae915086282ca14bd6e8d7658662370edaa9ce83a,3630bb7ad54c6ea6a0a370c59996c28da44de7ac65f19ca756c0084a5abd6216,False
E001B-63fc45e75524,unlabelled_background,E001G-554bacfd5fca,BNG_100KM_E4_N0,EAP-d85b0f0821f9,2018,1.0,128,e001-background-v1,e001-terrain-v1,E001S-6c27deebd03f,verified,pass,pass,pass,027fefd99e38f6c43000aaf106e8b9e0e2e7dd2f9f100095a90b8961fdfb1147,cdd102fbdaa80f5a061a14767b39777a50de1f42867ef1f0db08c3741cadf039,05cfd11807764536700b52d84dae7be9145290acbe67ce1eb1175583da3bc313,False
E001B-01dd0a05bebb,unlabelled_background,E001G-2f8233561d8b,BNG_100KM_E2_N1,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-e07d7d31d9eb,verified,pass,pass,pass,5cfaf74aa1dd392d874234ba6e3d76fb7a14099404d337a6faaa6229ae33e86e,2e22dec03c502f3a7ff2e5747863c423596fe5b55fc70d1c4d2e1525342a7f35,ffb9bef58cfdf242d87639becd9efb84284ae419928670b46950b2d8bde30df0,False
E001B-677564432b28,unlabelled_background,E001G-502e81b44926,BNG_100KM_E5_N1,EAP-d3a871d4f09e,2019,1.0,128,e001-background-v1,e001-terrain-v1,E001S-5a0fb30b51bb,verified,pass,pass,pass,ec37ec45744d78773eaacbd8c391c8aee6da45697403f71aaeef8454f3c000f6,3242dcfbddcd5fe38c971d1a1cd0136230de00dc4aaed2dab1180fd81490f932,f1992f5b135ce27bbf5faf0267316e6215ae2b2c5d38c785055fa07fa1e27db1,False
E001B-31696866da0a,unlabelled_background,E001G-e35d2bbfeebd,BNG_100KM_E5_N3,EAP-d85b0f0821f9,2018,1.0,128,e001-background-v1,e001-terrain-v1,E001S-3eb8d57154db,verified,pass,pass,pass,fab53f726683f50d55198749671351c540f8359c757987caee3acd500b5fe72c,998c62d46875a5354af542147cb10f5a7d09135b0de4e5ab140a9466cde4ee5e,0f88af5289322be83e5526d80c3cc1de3dd8350981b3a64d9196c38ed07fbeeb,False
E001B-35e9fa7076a4,unlabelled_background,E001G-920cb4a42206,BNG_100KM_E5_N0,EAP-d3a871d4f09e,2019,1.0,128,e001-background-v1,e001-terrain-v1,E001S-daf83a923e2b,verified,pass,pass,pass,942644918c2ef7337beabd511b7987186c404150c39398467cd86d8e45185002,25184062e1e58e453473b1d642ca5cef7da685d21ee1a93b94e3bf5d260f8119,2bca4aec993773ed4aa60c04ac224e0b537c75444e7e6f608bb0a728fdee7082,False
E001B-4511b1b345d3,unlabelled_background,E001G-07b3affcb6b0,BNG_100KM_E1_N0,EAP-71ad6a50942e,2021,1.0,128,e001-background-v1,e001-terrain-v1,E001S-d2664ae8d529,verified,pass,pass,pass,6788e6dde1f53c6db32db43c1b526e7e9209b75c09a37fb737dde98b7e74a19c,84d4824feb196c89c0ef116294d005490a55526e7fd0adae92f8d5d739120fb9,f2bc7ec4f6f7e5a963e69c3e2d35e944ebc220b396504bed029cc179baa5d688,False
E001B-a9e67e67e706,unlabelled_background,E001G-b1124e63cbf8,BNG_100KM_E3_N0,EAP-71ad6a50942e,2021,1.0,128,e001-background-v1,e001-terrain-v1,E001S-a0768ef27472,verified,pass,pass,pass,07eafa24a1e8336ad94132099bb7c59a71a4241de67468ff06d3b117032cd6b7,8ae44bc67813a9877daf9ef2dd82758d28fb6a6ac422144daf4215d7272e2a65,b4b4099b7494856667c3c1514487a9462c0e0f491ac5549b0afddfc2f74d533c,False
E001B-5053e1da1187,unlabelled_background,E001G-357de4df2730,BNG_100KM_E6_N3,EAP-8e32eccbc87e,2017,1.0,128,e001-background-v1,e001-terrain-v1,E001S-cc44c4031534,verified,pass,pass,pass,ccf6833d70831de5a855604ab24427d15227764f6488eb0a516102581f02a6b1,7fc5d48038c8e2c319a1610283f7c6076f63eb99a5b34d993aefe1bda4134346,6d75608fe3c06ad29ed2dcb3ca03f16fe693c7c587c46d0b6d5f0a91ee21181d,False
E001B-1b65decbe7eb,unlabelled_background,E001G-dded0514002d,BNG_100KM_E4_N2,EAP-71ad6a50942e,2021,1.0,128,e001-background-v1,e001-terrain-v1,E001S-d668d43240dd,verified,pass,pass,pass,3962459d3bbeed4c25faf7c39d3898047cd7ff5d16ba25f70f705abe5128f91b,66a3b044fe7a95397e468f1235314ead5b0946b3f565a0d8a2e9079c890733aa,fa7cabe46024e89432c40cb671f3693b1e349384ed434e9ef769afa84f924479,False
E001B-5fc382a5b513,unlabelled_background,E001G-3124468f390c,BNG_100KM_E4_N2,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-186402229c25,verified,pass,pass,pass,83df89b76d5f5eeb65b396be5dafed0cbfe4b65af60557d9fc0fc981bc2d93b2,8ffab452c2efb64f6b7bafc4328d6df514e5dd52a48d879b189ec4a3f5820496,927f568b815e8a5eba2114c20f4c26cd0c9fed9627ffe18d7acb73fe6487df96,False
E001B-c3b14e854cb9,unlabelled_background,E001G-836af9bde0da,BNG_100KM_E3_N2,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-c22bb8588fb4,verified,pass,pass,pass,4edd13840618c783b60fe95aa95ca7743a55360696d00dc69023a1e9675474da,8c554e46b9c1655dfbd2ef8599894df2b6a24a72231db38f0655ef2c0d9883c1,a2e249ee6d81ff7fd20c04674eef387196d425c8447755764d5b80bc72e4d5db,False
E001B-a6a986ea0fc5,unlabelled_background,E001G-84bb465ef288,BNG_100KM_E4_N5,EAP-d85b0f0821f9,2018,1.0,128,e001-background-v1,e001-terrain-v1,E001S-dd1002589e2c,verified,pass,pass,pass,786b9b9b4ae94f4ea0d3773c9ab67911d1833ff00e303efbf75b62677b292276,1898f72d1365ca7e0811f3dd20459aee08291e659de7cf01be157c1e3329428c,90019a8c317c262eaf263a28e5e22a7729ed1e4ddc6fd80b5bd79a10852a09ed,False
E001B-faaf016e23a6,unlabelled_background,E001G-052952c6e41b,BNG_100KM_E3_N3,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-6c213fdf56a2,verified,pass,pass,pass,e8cbc80105a53f141fb7caf7dbf4d7eae590f851f2e98dcb02a0dc9e1493c414,27c677ada04beb5291a4f9d06437d164b78fe6d54c46826ca3ad01649bf5203e,7bfa1be55d7b299cb036623cd20f017e2ccdba4ecd66a8c54e1987051b17a0b7,False
E001B-7495bf139bca,unlabelled_background,E001G-dabb7425a1fc,BNG_100KM_E6_N2,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-502d4e4d23ee,verified,pass,pass,pass,7bc4a698f6d462fbafd0c2d4cda5918ddd8f5450804154c0f76941e0a7529642,286a3bed4e323a90352f3cde0ead71c5788071ec420012b641cde4d883c644bc,4c5805be43e37554ef107b69a5ebd23705a8a9d7e6d23823696d676a06a92779,False
E001B-3942496d6d35,unlabelled_background,E001G-6b2333aef0c1,BNG_100KM_E4_N1,EAP-8e32eccbc87e,2017,1.0,128,e001-background-v1,e001-terrain-v1,E001S-926a4868b313,verified,pass,pass,pass,9ef912f25fd193858bf0a4b90ad83c98be3d1b397d7a868775104e834093b980,2c4d27d65eb1748c1c4b060ff35a5fcc81b74a1a573f1a218eb00305fcd20c6a,8200e33723bc9a59a9d585d6f487a9ff8e8374282d489eebb6c47f89073b176a,False
E001B-6aa7ab338f83,unlabelled_background,E001G-1a74c1cbfd27,BNG_100KM_E3_N3,EAP-71ad6a50942e,2021,1.0,128,e001-background-v1,e001-terrain-v1,E001S-285ba200d0ee,verified,pass,pass,pass,d03fb48c74414b4bcf3f937b98e50c70945105324874095ae13b188d41db5e2b,9981e7f916db58825e2e63dda7369701826f699080332382a3b06729f7be1c6b,c87daab9430462df346df5144fe0ef1c5a0e915024baa3813664efd1c2be41ee,False
E001B-96ff713273a7,unlabelled_background,E001G-e6e1787c57c8,BNG_100KM_E3_N3,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-cd4f49fd9a2d,verified,pass,pass,pass,45efefc31bd9e50a685934fcd5c622ae5ea4ff5b7c0c2ddd557f56e7f959d1d3,dc4384104b1b8ef136cd5619ebcc22e3c10302acb9ecdf02ef7f7841218156f6,f47f2c33257c9b33fe0bb28b7b69fbea46c940c1868f9899247d41444a8141c7,False
E001B-9b04b2b32684,unlabelled_background,E001G-a5baf67dcfa4,BNG_100KM_E3_N3,EAP-c590a5cb0139,2020,1.0,128,e001-background-v1,e001-terrain-v1,E001S-747f07d9aea9,verified,pass,pass,pass,ed529d79cd8007f1fa49e955b4d5f69d7b99af7b0a125231eb1d80bbcf0a0ab5,299fecc6ab18b23a692f7300c5d91f5911dc459f3187373f1ee01347e0deab13,6fa111ca539d6b57fabacc450e13cbec0689b04b942252dfec207a399d6539fa,False
E001B-277fd56a468e,unlabelled_background,E001G-736fcc024fd8,BNG_100KM_E3_N5,EAP-71ad6a50942e,2021,1.0,128,e001-background-v1,e001-terrain-v1,E001S-84f6b7f0fa8a,verified,pass,pass,pass,7c304b1ff49a520e94c0701c99348303eff467ab753dd53c6a23f82d4d684dac,8009380f3d8c17eab500171918c5d22570963bdcb431fa19b7a9101f3457e87e,99bf1d959b701c9db623a1876dcfaac6573f45f75488dc411b1b12ab7af3dc29,False
