sample_id,class_label,observation_group_id,overlap_component_id,geographic_block_id,survey_year,provenance_id,source_resolution_m,patch_size_m,processing_version,qa_status,sampling_stratum,patch_sha256,split_random,split_geographic
E001P-004c14bbcf5c,positive_bowl_barrow,E001G-c1ed32e1ca6e,,BNG_100KM_E3_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,260c3fd20369442988c3bb93b155fa2ba202388f753b20c52fd5d996e7f61d83,train,final_test
E001P-02cd97c70290,positive_bowl_barrow,E001G-8645998297a3,,BNG_100KM_E3_N2,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,c5368215962add111618164165587963f1be46985a3a4eae34ec303e22cbf851,final_test,final_test
E001P-032894b74d2c,positive_bowl_barrow,E001G-3406a8e2e0dd,,BNG_100KM_E3_N4,2020,EAP-c590a5cb0139,1.0,128,e001-terrain-v1,pass,positive_curated,01cfccdf248ff4dccdb73fdac216c337b16814f8f97f0982ce6f69227579150f,train,train
E001P-034ad4361818,positive_bowl_barrow,E001G-be253042432e,,BNG_100KM_E3_N5,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,1839049b4a054510ff3421ec5795a5cd338797d5ac418cd1a8d6da2c95de687c,train,train
E001P-0391c71dfabf,positive_bowl_barrow,E001G-d0f64c0bc53a,,BNG_100KM_E6_N1,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,1ce6419d3a8971654d785de56370d222309c92f6fc8837c8aea090c71fb083d5,train,train
E001P-03e6bb61208b,positive_bowl_barrow,E001G-5cbe9d18b7cc,,BNG_100KM_E2_N0,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,2261a4d2b5d140b8ba05841929281b5913982de3c0a6f88a1278f16c36541346,train,development
E001P-058d5d949c4c,positive_bowl_barrow,E001G-ef6d3bf97c33,,BNG_100KM_E4_N0,2021,EAP-71ad6a50942e,1.0,128,e001-terrain-v1,pass,positive_curated,e3c9a04ba7e321d4bc0d9172a80f910e174a9ad96126e3d416d823de3ec03279,train,train
E001P-06c86e74d40a,positive_bowl_barrow,E001G-ec3f9b58664d,,BNG_100KM_E2_N1,2022,EAP-a800a13742ee,1.0,128,e001-terrain-v1,pass,positive_curated,054ca1236b9d8155f31c1e333fd38fa25a34095282ca0f8ce36107d10d409d78,train,train
E001P-07f09ec5d10e,positive_bowl_barrow,E001G-811748c43f63,E001O-bfb367ad9636,BNG_100KM_E5_N0,2019,EAP-d3a871d4f09e,1.0,128,e001-terrain-v1,pass,positive_curated,59780c7dca31eac5ac00296fadcf9f797278ef3d43b4c383915c44c9e9cc7c2e,train,train
E001P-0922b5ae5836,positive_bowl_barrow,E001G-b9a16a314776,,BNG_100KM_E4_N4,2018,EAP-d85b0f0821f9,1.0,128,e001-terrain-v1,pass,positive_curated,3fe37e590e83deedfdc6856f46c4cfaf09a586789fa58353b2f1adc2906bc93f,train,train
