fold,seed,training_observations,internal_validation_observations,held_out_observations,held_out_positive_bowl_barrow,held_out_unlabelled_background,balanced_accuracy,accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,epochs_trained,best_epoch,best_internal_validation_loss,training_seconds,inference_seconds,inference_ms_per_patch,peak_gpu_memory_bytes,model_state_sha256,private_checkpoint_sha256,private_checkpoint_size_bytes,classification_threshold,predicted_positive_count
fold_1,20260829,336,78,108,54,54,0.7685185185185185,0.7685185185185185,0.7164179104477612,0.8888888888888888,0.7933884297520661,0.8319615912208504,0.8021387465934245,35,19,6,48,30,18,0.5802041276907309,5.318493100000069,0.021773099999791157,0.20160277777584404,159191552,d1aca5cb29f482ad7ab99864f99270ac67b9daffcb53b72211cd541d90c455a3,5c37cba6eb8b04342f9acfcf218fe343a11f0b8671d226e32da3ea7b67c8d7ae,240853,0.5,67
fold_1,20260830,336,78,108,54,54,0.7407407407407407,0.7407407407407407,0.7096774193548387,0.8148148148148148,0.7586206896551724,0.7839506172839507,0.771401132000142,36,18,10,44,38,26,0.5572715126551114,5.901149899999837,0.02380170000014914,0.22038611111249204,159191552,9d844a467ebad715bd271ae81c4ff4b9f5b68dbc5d2948179c3d539da55078ce,c0c6390472d9579bb820bf23cfd0926f8e7430d2a0fb504e9ee7596bbdb7fb81,240853,0.5,62
fold_1,20260831,336,78,108,54,54,0.7592592592592593,0.7592592592592593,0.7413793103448276,0.7962962962962963,0.7678571428571429,0.8144718792866941,0.814539448110818,39,15,11,43,40,28,0.5416241272901877,6.427998800000296,0.0237768000001779,0.2201555555572028,159191552,f76221ec0b9f1ee5643c16e971b0f0da5df275904b5e86eb468dbf61e5415692,78077202f29dfc8ca4ade7c8d90d8c6cf19a7b16929f84466c931eb9030461bb,240853,0.5,58
fold_2,20260829,306,110,106,53,53,0.7075471698113207,0.7075471698113207,0.6617647058823529,0.8490566037735849,0.743801652892562,0.7778568885724457,0.7937436293165001,30,23,8,45,54,42,0.5980262236161665,8.507222400000046,0.021682500000224536,0.2045518867945711,159191552,04b8c22e1ff09d1ab4dbb864f4708ecc342c56e111d62a80fc83fc9e26a6d737,9e2597a4a33aa289fef0d5ea24d5e89b7776555e052a051a1589d13533422473,240853,0.5,68
fold_2,20260830,306,110,106,53,53,0.6132075471698113,0.6132075471698113,0.573170731707317,0.8867924528301887,0.6962962962962963,0.6564613741545033,0.6306953209456881,18,35,6,47,19,7,0.6563838471065868,3.0495553000000655,0.01805530000001454,0.1703330188680617,159191552,d4b357b46b212c391fed24f1978c3a6b61b52b35e0e2600edd1c63543481c24b,e42551b3913ce39390419b4069cca93a874d0e343b1afbf978939a16f7c4654f,240853,0.5,82
fold_2,20260831,306,110,106,53,53,0.6603773584905661,0.660377358490566,0.6103896103896104,0.8867924528301887,0.7230769230769231,0.7821288714845142,0.8069198735444754,23,30,6,47,46,34,0.5991598844528199,7.4221707000001516,0.018595399999867368,0.1754283018855412,159191552,a104670bb95fb1f3870cded03d4e6a2efa3211ef2eb3a30733ab29adaead3f91,27f59f8eb4811bbe72af07e81ae8f2429cc837fc70580cc7fe56c9977cfe15ca,240853,0.5,77
fold_3,20260829,346,76,100,50,50,0.69,0.69,0.7111111111111111,0.64,0.6736842105263158,0.7684,0.7824194347774226,37,13,18,32,52,40,0.5015060776158383,8.826003799999853,0.021887700000206678,0.21887700000206678,159191552,4dd81c0d2d8a4b882abce976f660fbe4778e9a5acb693fa04b28ba807a084b6c,d5991e697445a9d2927f01b2457a2667845cc7db8bc4ba4a15efdf87ba0d1d6c,240853,0.5,45
fold_3,20260830,346,76,100,50,50,0.69,0.69,0.6862745098039216,0.7,0.693069306930693,0.7624000000000001,0.7625776821425359,34,16,15,35,48,36,0.5365389679607592,8.167352299999948,0.01788219999980356,0.1788219999980356,159191552,48660acf271d16637f40662c908580df7177cb1376c797bee035d5336066a935,fc9d0e63eefe73fbdb9e5f9cdbc58a8fd8d1b33a9359e281079ee120e4e58261,240853,0.5,51
fold_3,20260831,346,76,100,50,50,0.69,0.69,0.6792452830188679,0.72,0.6990291262135923,0.7368,0.7196563228061463,33,17,14,36,19,7,0.6131080577248021,3.2622314000000188,0.020253499999853375,0.20253499999853375,159191552,2db0e1c30c0ce4869152a9dea17abf680750707f5622cb0264fa8eaf0ec44a4b,7a63b3b2b91e3494041c31c83783e90ce97ae64fe490520bae9f727860d93f87,240853,0.5,53
fold_4,20260829,312,102,108,54,54,0.6759259259259259,0.6759259259259259,0.7317073170731707,0.5555555555555556,0.631578947368421,0.7311385459533608,0.7126981522731258,43,11,24,30,29,17,0.6046964748232972,4.677012399999967,0.019635099999959493,0.18180648148110642,159191552,43ee9db6f9fb7268be1fa6170193858a4f34881e607438818eac536967a0e097,2345c216fc640e755ad9b3fd32dc4433a64aa84a4b77748f2d6d79ab0eeae25f,240853,0.5,41
