geographic_block_id,evaluations,unique_observations,balanced_accuracy,accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp
BNG_100KM_E1_N0,48,16,0.8541666666666667,0.8541666666666666,0.8695652173913043,0.8333333333333334,0.851063829787234,0.9322916666666667,0.9531971500721501,21,3,4,20
BNG_100KM_E2_N0,84,28,0.7023809523809523,0.7023809523809523,0.6666666666666666,0.8095238095238095,0.7311827956989247,0.7290249433106576,0.6666080005109176,25,17,8,34
BNG_100KM_E2_N1,84,28,0.7261904761904763,0.7261904761904762,0.7209302325581395,0.7380952380952381,0.7294117647058823,0.7380952380952381,0.6303003788459657,30,12,11,31
BNG_100KM_E3_N0,54,18,0.8518518518518519,0.8518518518518519,0.7714285714285715,1.0,0.8709677419354839,0.9519890260631001,0.9528020916666387,19,8,0,27
BNG_100KM_E3_N1,90,30,0.711111111111111,0.7111111111111111,0.7021276595744681,0.7333333333333333,0.717391304347826,0.7609876543209877,0.7387846139581877,31,14,12,33
BNG_100KM_E3_N2,96,32,0.8645833333333333,0.8645833333333334,0.8181818181818182,0.9375,0.8737864077669902,0.8506944444444444,0.7891364444357122,38,10,3,45
BNG_100KM_E3_N3,96,32,0.7395833333333333,0.7395833333333334,0.676923076923077,0.9166666666666666,0.7787610619469026,0.771267361111111,0.78483809822671,27,21,4,44
BNG_100KM_E3_N4,54,18,0.7777777777777777,0.7777777777777778,0.8,0.7407407407407407,0.7692307692307693,0.7818930041152263,0.8488946670279993,22,5,7,20
BNG_100KM_E3_N5,90,30,0.5666666666666667,0.5666666666666667,0.5833333333333334,0.4666666666666667,0.5185185185185185,0.6241975308641975,0.6369938039267357,30,15,24,21
BNG_100KM_E4_N0,66,22,0.7878787878787878,0.7878787878787878,1.0,0.5757575757575758,0.7307692307692307,0.8337924701561065,0.8825631597253696,33,0,14,19
BNG_100KM_E4_N1,66,22,0.5757575757575757,0.5757575757575758,0.5641025641025641,0.6666666666666666,0.6111111111111112,0.6758494031221304,0.7079676619308652,16,17,11,22
BNG_100KM_E4_N2,84,28,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.75,0.7274443413571953,32,10,22,20
BNG_100KM_E4_N3,72,24,0.75,0.75,0.725,0.8055555555555556,0.7631578947368421,0.8063271604938271,0.8088873082380128,25,11,7,29
BNG_100KM_E4_N4,66,22,0.6060606060606061,0.6060606060606061,0.6296296296296297,0.5151515151515151,0.5666666666666667,0.650137741046832,0.651590015927108,23,10,16,17
BNG_100KM_E4_N5,90,30,0.6777777777777778,0.6777777777777778,0.66,0.7333333333333333,0.6947368421052632,0.7767901234567902,0.7341932358509365,28,17,12,33
BNG_100KM_E5_N0,24,8,0.7916666666666667,0.7916666666666666,1.0,0.5833333333333334,0.7368421052631579,0.6319444444444444,0.7848764868266147,12,0,5,7
BNG_100KM_E5_N1,72,24,0.6527777777777778,0.6527777777777778,0.6666666666666666,0.6111111111111112,0.6376811594202898,0.7569444444444444,0.8080223658725832,25,11,14,22
BNG_100KM_E5_N2,78,26,0.5641025641025641,0.5641025641025641,0.543859649122807,0.7948717948717948,0.6458333333333334,0.6443129520052597,0.6952560003218057,13,26,8,31
BNG_100KM_E5_N3,60,20,0.6666666666666667,0.6666666666666666,0.75,0.5,0.6,0.7444444444444445,0.7802825415702186,25,5,15,15
BNG_100KM_E5_N4,90,30,0.7444444444444445,0.7444444444444445,0.8235294117647058,0.6222222222222222,0.7088607594936709,0.8350617283950617,0.842825230179532,39,6,17,28
BNG_100KM_E6_N1,30,10,0.8333333333333334,0.8333333333333334,0.8125,0.8666666666666667,0.8387096774193549,0.8177777777777777,0.7434044659044658,12,3,2,13
BNG_100KM_E6_N2,54,18,0.5740740740740741,0.5740740740740741,0.5416666666666666,0.9629629629629629,0.6933333333333334,0.673525377229081,0.616249510254996,5,22,1,26
BNG_100KM_E6_N3,18,6,0.5555555555555556,0.5555555555555556,0.5294117647058824,1.0,0.6923076923076923,0.7777777777777778,0.8140933140933142,1,8,0,9
