broad_group,broad_barrow_candidates,probable_bowl_candidates,clear_title_exclusions,manual_review_required
BNG_100KM_E1_N0,159,37,77,45
BNG_100KM_E2_N0,177,49,79,49
BNG_100KM_E2_N1,187,63,77,47
BNG_100KM_E2_N5,1,0,0,1
BNG_100KM_E3_N0,519,164,215,140
BNG_100KM_E3_N1,554,282,176,96
BNG_100KM_E3_N2,108,68,29,11
BNG_100KM_E3_N3,61,51,5,5
BNG_100KM_E3_N4,33,15,4,14
BNG_100KM_E3_N5,38,26,5,7
BNG_100KM_E3_N6,4,0,2,2
BNG_100KM_E4_N0,143,57,42,44
BNG_100KM_E4_N1,1273,405,515,353
BNG_100KM_E4_N2,191,78,77,36
BNG_100KM_E4_N3,243,195,24,24
BNG_100KM_E4_N4,728,92,132,504
BNG_100KM_E4_N5,237,27,55,155
BNG_100KM_E4_N6,3,0,1,2
BNG_100KM_E5_N0,18,11,5,2
BNG_100KM_E5_N1,223,68,86,69
BNG_100KM_E5_N2,200,82,66,52
BNG_100KM_E5_N3,163,48,97,18
BNG_100KM_E5_N4,86,31,17,38
BNG_100KM_E6_N1,52,29,15,8
BNG_100KM_E6_N2,58,25,17,16
BNG_100KM_E6_N3,28,5,8,15
