geographic_group_id,accepted_sites,viable_at_12,holdout_candidate
BNG_100KM_E1_N0,8,false,false
BNG_100KM_E2_N0,14,true,true
BNG_100KM_E2_N1,14,true,false
BNG_100KM_E3_N0,9,false,false
BNG_100KM_E3_N1,15,true,false
BNG_100KM_E3_N2,16,true,true
BNG_100KM_E3_N3,16,true,false
BNG_100KM_E3_N4,9,false,false
BNG_100KM_E3_N5,15,true,true
BNG_100KM_E4_N0,11,false,false
BNG_100KM_E4_N1,11,false,false
BNG_100KM_E4_N2,14,true,false
BNG_100KM_E4_N3,12,true,false
BNG_100KM_E4_N4,11,false,false
BNG_100KM_E4_N5,15,true,false
BNG_100KM_E5_N0,4,false,false
BNG_100KM_E5_N1,12,true,false
BNG_100KM_E5_N2,13,true,false
BNG_100KM_E5_N3,10,false,false
BNG_100KM_E5_N4,15,true,true
BNG_100KM_E6_N1,5,false,false
BNG_100KM_E6_N2,9,false,false
BNG_100KM_E6_N3,3,false,false
