geographic_group_id,terrain_year,source_resolution_m,survey_program,nhle_capture_scale,accepted_sites
BNG_100KM_E1_N0,2019,1,National LIDAR Programme,1:10000,3
BNG_100KM_E1_N0,2020,1,National LIDAR Programme,1:10000,2
BNG_100KM_E1_N0,2020,1,National LIDAR Programme,1:2500,1
BNG_100KM_E1_N0,2021,1,National LIDAR Programme,1:2500,2
BNG_100KM_E2_N0,2018,1,National LIDAR Programme,1:10000,2
BNG_100KM_E2_N0,2019,1,National LIDAR Programme,1:10000,2
BNG_100KM_E2_N0,2020,1,National LIDAR Programme,1:10000,4
BNG_100KM_E2_N0,2021,1,National LIDAR Programme,1:10000,5
BNG_100KM_E2_N0,2022,1,National LIDAR Programme,1:10000,1
BNG_100KM_E2_N1,2020,1,National LIDAR Programme,1:10000,3
BNG_100KM_E2_N1,2021,1,National LIDAR Programme,1:10000,6
BNG_100KM_E2_N1,2022,1,National LIDAR Programme,1:10000,5
BNG_100KM_E3_N0,2021,1,National LIDAR Programme,1:10000,9
BNG_100KM_E3_N1,2018,1,National LIDAR Programme,1:10000,5
BNG_100KM_E3_N1,2019,1,National LIDAR Programme,1:10000,6
BNG_100KM_E3_N1,2020,1,National LIDAR Programme,1:10000,2
BNG_100KM_E3_N1,2020,1,National LIDAR Programme,1:2500,1
BNG_100KM_E3_N1,2021,1,National LIDAR Programme,1:10000,1
BNG_100KM_E3_N2,2019,1,National LIDAR Programme,1:10000,4
BNG_100KM_E3_N2,2020,1,National LIDAR Programme,1:10000,12
BNG_100KM_E3_N3,2020,1,National LIDAR Programme,1:10000,11
BNG_100KM_E3_N3,2021,1,National LIDAR Programme,1:10000,5
BNG_100KM_E3_N4,2018,1,National LIDAR Programme,1:10000,2
BNG_100KM_E3_N4,2020,1,National LIDAR Programme,1:10000,4
BNG_100KM_E3_N4,2021,1,National LIDAR Programme,1:10000,1
BNG_100KM_E3_N4,2022,1,National LIDAR Programme,1:10000,2
BNG_100KM_E3_N5,2018,1,National LIDAR Programme,1:10000,1
BNG_100KM_E3_N5,2019,1,National LIDAR Programme,1:10000,1
BNG_100KM_E3_N5,2020,1,National LIDAR Programme,1:10000,2
BNG_100KM_E3_N5,2021,1,National LIDAR Programme,1:10000,11
BNG_100KM_E4_N0,2018,1,National LIDAR Programme,1:10000,4
BNG_100KM_E4_N0,2021,1,National LIDAR Programme,1:10000,7
BNG_100KM_E4_N1,2017,1,National LIDAR Programme,1:10000,3
BNG_100KM_E4_N1,2019,1,National LIDAR Programme,1:10000,2
BNG_100KM_E4_N1,2020,1,National LIDAR Programme,1:10000,2
BNG_100KM_E4_N1,2021,1,National LIDAR Programme,1:10000,4
BNG_100KM_E4_N2,2019,1,National LIDAR Programme,1:10000,1
BNG_100KM_E4_N2,2020,1,National LIDAR Programme,1:10000,10
BNG_100KM_E4_N2,2021,1,National LIDAR Programme,1:10000,3
BNG_100KM_E4_N3,2020,1,National LIDAR Programme,1:10000,9
BNG_100KM_E4_N3,2021,1,National LIDAR Programme,1:10000,1
BNG_100KM_E4_N3,2022,1,National LIDAR Programme,1:10000,2
BNG_100KM_E4_N4,2018,1,National LIDAR Programme,1:10000,10
BNG_100KM_E4_N4,2021,1,National LIDAR Programme,1:10000,1
BNG_100KM_E4_N5,2009,1,EA Composite source survey,1:10000,1
BNG_100KM_E4_N5,2016,0.5,EA Composite source survey,1:10000,2
BNG_100KM_E4_N5,2018,1,National LIDAR Programme,1:10000,12
BNG_100KM_E5_N0,2019,1,National LIDAR Programme,1:10000,4
BNG_100KM_E5_N1,2018,1,National LIDAR Programme,1:10000,2
BNG_100KM_E5_N1,2019,1,National LIDAR Programme,1:10000,7
BNG_100KM_E5_N1,2021,1,National LIDAR Programme,1:10000,3
BNG_100KM_E5_N2,2018,1,National LIDAR Programme,1:10000,9
BNG_100KM_E5_N2,2019,1,National LIDAR Programme,1:10000,4
BNG_100KM_E5_N3,2017,1,National LIDAR Programme,1:10000,4
BNG_100KM_E5_N3,2018,1,National LIDAR Programme,1:10000,2
BNG_100KM_E5_N3,2019,1,National LIDAR Programme,1:10000,3
BNG_100KM_E5_N3,2020,1,National LIDAR Programme,1:10000,1
BNG_100KM_E5_N4,2018,1,National LIDAR Programme,1:10000,6
BNG_100KM_E5_N4,2020,1,National LIDAR Programme,1:10000,9
BNG_100KM_E6_N1,2017,1,National LIDAR Programme,1:10000,1
BNG_100KM_E6_N1,2018,1,National LIDAR Programme,1:10000,4
BNG_100KM_E6_N2,2018,1,National LIDAR Programme,1:10000,6
BNG_100KM_E6_N2,2019,1,National LIDAR Programme,1:10000,1
BNG_100KM_E6_N2,2020,1,National LIDAR Programme,1:10000,2
BNG_100KM_E6_N3,2017,1,National LIDAR Programme,1:10000,3
