list_entry,primary_status,required_action
1017917,needs_terrain_review,independent_human_full_entry_review
1007624,accepted,independent_human_full_entry_review
1012990,accepted,independent_human_full_entry_review
1008904,needs_terrain_review,independent_human_full_entry_review
1012058,accepted,independent_human_full_entry_review
1007354,accepted,independent_human_full_entry_review
1010643,accepted,independent_human_full_entry_review
1009441,needs_terrain_review,independent_human_full_entry_review
1013435,accepted,independent_human_full_entry_review
1011988,uncertain,independent_human_full_entry_review
1008903,needs_terrain_review,independent_human_full_entry_review
1012835,accepted,independent_human_full_entry_review
1002472,accepted,independent_human_full_entry_review
1018895,rejected,independent_human_full_entry_review
1012337,uncertain,independent_human_full_entry_review
1021063,accepted,independent_human_full_entry_review
1011438,needs_terrain_review,independent_human_full_entry_review
1012632,rejected,independent_human_full_entry_review
1016443,needs_terrain_review,independent_human_full_entry_review
1015732,needs_terrain_review,independent_human_full_entry_review
1009082,accepted,independent_human_full_entry_review
1008485,needs_terrain_review,independent_human_full_entry_review
1015365,accepted,independent_human_full_entry_review
1009479,accepted,independent_human_full_entry_review
1018160,accepted,independent_human_full_entry_review
1009855,rejected,independent_human_full_entry_review
1020138,uncertain,independent_human_full_entry_review
1014830,accepted,independent_human_full_entry_review
1006683,needs_terrain_review,independent_human_full_entry_review
1015012,accepted,independent_human_full_entry_review
1016103,needs_terrain_review,independent_human_full_entry_review
1009743,accepted,independent_human_full_entry_review
1012210,rejected,independent_human_full_entry_review
1009943,needs_terrain_review,independent_human_full_entry_review
1013853,accepted,independent_human_full_entry_review
1011382,needs_terrain_review,independent_human_full_entry_review
1011963,rejected,independent_human_full_entry_review
1017281,accepted,independent_human_full_entry_review
1021315,accepted,independent_human_full_entry_review
1009428,accepted,independent_human_full_entry_review
