geographic_block_id,fold,positive_bowl_barrow,unlabelled_background
BNG_100KM_E2_N0,fold_1,14,14
BNG_100KM_E3_N0,fold_1,9,9
BNG_100KM_E3_N2,fold_1,16,16
BNG_100KM_E4_N1,fold_1,11,11
BNG_100KM_E5_N0,fold_1,4,4
BNG_100KM_E3_N3,fold_2,16,16
BNG_100KM_E4_N3,fold_2,12,12
BNG_100KM_E5_N2,fold_2,13,13
BNG_100KM_E6_N2,fold_2,9,9
BNG_100KM_E6_N3,fold_2,3,3
BNG_100KM_E3_N1,fold_3,15,15
BNG_100KM_E3_N4,fold_3,9,9
BNG_100KM_E4_N4,fold_3,11,11
BNG_100KM_E4_N5,fold_3,15,15
BNG_100KM_E1_N0,fold_4,8,8
BNG_100KM_E2_N1,fold_4,14,14
BNG_100KM_E3_N5,fold_4,15,15
BNG_100KM_E5_N1,fold_4,12,12
BNG_100KM_E6_N1,fold_4,5,5
BNG_100KM_E4_N0,fold_5,11,11
BNG_100KM_E4_N2,fold_5,14,14
BNG_100KM_E5_N3,fold_5,10,10
BNG_100KM_E5_N4,fold_5,15,15
