analysis_label,representation,feature_count,fold,balanced_accuracy,accuracy,precision,recall,f1,roc_auc,average_precision,tn_background_correct,fp_background_predicted_positive,fn_positive_predicted_background,tp_positive_correct
posthoc_geographic_robustness,normalized_elevation,1024,fold_1,0.7685185185185186,0.7685185185185185,0.7636363636363637,0.7777777777777778,0.7706422018348624,0.8782578875171468,0.888636094660171,41,13,12,42
posthoc_geographic_robustness,normalized_elevation,1024,fold_2,0.8207547169811321,0.8207547169811321,0.7833333333333333,0.8867924528301887,0.831858407079646,0.9159843360626558,0.9225670181089785,40,13,6,47
posthoc_geographic_robustness,normalized_elevation,1024,fold_3,0.74,0.74,0.8157894736842105,0.62,0.7045454545454546,0.88,0.8945490201941053,43,7,19,31
posthoc_geographic_robustness,normalized_elevation,1024,fold_4,0.8333333333333333,0.8333333333333334,0.9090909090909091,0.7407407407407407,0.8163265306122449,0.9375857338820301,0.9450601436312489,50,4,14,40
posthoc_geographic_robustness,normalized_elevation,1024,fold_5,0.8300000000000001,0.83,0.8666666666666667,0.78,0.8210526315789474,0.8916,0.906210184281185,44,6,11,39
posthoc_geographic_robustness,slope,1024,fold_1,0.6481481481481481,0.6481481481481481,0.6379310344827587,0.6851851851851852,0.6607142857142857,0.7681755829903979,0.8138086741793955,33,21,17,37
posthoc_geographic_robustness,slope,1024,fold_2,0.6415094339622641,0.6415094339622641,0.6363636363636364,0.660377358490566,0.6481481481481481,0.6877892488430045,0.743409324819147,33,20,18,35
posthoc_geographic_robustness,slope,1024,fold_3,0.63,0.63,0.6511627906976745,0.56,0.6021505376344086,0.6924000000000001,0.7407927935380187,35,15,22,28
posthoc_geographic_robustness,slope,1024,fold_4,0.7592592592592593,0.7592592592592593,0.78,0.7222222222222222,0.75,0.7928669410150891,0.8070817433262221,43,11,15,39
posthoc_geographic_robustness,slope,1024,fold_5,0.64,0.64,0.6666666666666666,0.56,0.6086956521739131,0.7268,0.7673268850087062,36,14,22,28
posthoc_geographic_robustness,hillshade,1024,fold_1,0.8240740740740741,0.8240740740740741,0.8431372549019608,0.7962962962962963,0.819047619047619,0.9170096021947873,0.9243632337937802,46,8,11,43
posthoc_geographic_robustness,hillshade,1024,fold_2,0.8301886792452831,0.8301886792452831,0.8181818181818182,0.8490566037735849,0.8333333333333334,0.9031683873264508,0.9205179635520859,43,10,8,45
posthoc_geographic_robustness,hillshade,1024,fold_3,0.77,0.77,0.7872340425531915,0.74,0.7628865979381443,0.8464,0.8774459952999629,40,10,13,37
posthoc_geographic_robustness,hillshade,1024,fold_4,0.7685185185185186,0.7685185185185185,0.8085106382978723,0.7037037037037037,0.7524752475247525,0.8864883401920439,0.8955245950987818,45,9,16,38
posthoc_geographic_robustness,hillshade,1024,fold_5,0.85,0.85,0.8723404255319149,0.82,0.845360824742268,0.9000000000000001,0.9245313531471457,44,6,9,41
posthoc_geographic_robustness,local_relief,1024,fold_1,0.8425925925925926,0.8425925925925926,0.8032786885245902,0.9074074074074074,0.8521739130434782,0.9125514403292181,0.9244716410786523,42,12,5,49
posthoc_geographic_robustness,local_relief,1024,fold_2,0.9056603773584906,0.9056603773584906,0.9215686274509803,0.8867924528301887,0.9038461538461539,0.9441082235671059,0.9588245700630895,49,4,6,47
posthoc_geographic_robustness,local_relief,1024,fold_3,0.8,0.8,0.8947368421052632,0.68,0.7727272727272727,0.8724000000000001,0.8954563423682557,46,4,16,34
posthoc_geographic_robustness,local_relief,1024,fold_4,0.8796296296296295,0.8796296296296297,0.8867924528301887,0.8703703703703703,0.8785046728971962,0.9231824417009602,0.9243925178075754,48,6,7,47
posthoc_geographic_robustness,local_relief,1024,fold_5,0.8400000000000001,0.84,0.8863636363636364,0.78,0.8297872340425532,0.8704,0.911074385971175,45,5,11,39
posthoc_geographic_robustness,all_four,4096,fold_1,0.7962962962962963,0.7962962962962963,0.7857142857142857,0.8148148148148148,0.8,0.9142661179698217,0.9279695412513933,42,12,10,44
posthoc_geographic_robustness,all_four,4096,fold_2,0.839622641509434,0.839622641509434,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9302242791028836,0.9476918704920381,43,10,7,46
posthoc_geographic_robustness,all_four,4096,fold_3,0.79,0.79,0.8717948717948718,0.68,0.7640449438202247,0.9027999999999999,0.9070699798338899,45,5,16,34
posthoc_geographic_robustness,all_four,4096,fold_4,0.8611111111111112,0.8611111111111112,0.8979591836734694,0.8148148148148148,0.8543689320388349,0.9413580246913581,0.9462940976132816,49,5,10,44
posthoc_geographic_robustness,all_four,4096,fold_5,0.8300000000000001,0.83,0.8837209302325582,0.76,0.8172043010752689,0.8924,0.919894014900636,45,5,12,38
