analysis_label,seed,fold,balanced_accuracy,accuracy,precision,recall,f1,roc_auc,average_precision,tn_background_correct,fp_background_predicted_positive,fn_positive_predicted_background,tp_positive_correct
posthoc_geographic_robustness,20260829,fold_1,0.7962962962962963,0.7962962962962963,0.7857142857142857,0.8148148148148148,0.8,0.9142661179698217,0.9279695412513933,42,12,10,44
posthoc_geographic_robustness,20260829,fold_2,0.839622641509434,0.839622641509434,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9302242791028836,0.9476918704920381,43,10,7,46
posthoc_geographic_robustness,20260829,fold_3,0.79,0.79,0.8717948717948718,0.68,0.7640449438202247,0.9027999999999999,0.9070699798338899,45,5,16,34
posthoc_geographic_robustness,20260829,fold_4,0.8611111111111112,0.8611111111111112,0.8979591836734694,0.8148148148148148,0.8543689320388349,0.9413580246913581,0.9462940976132816,49,5,10,44
posthoc_geographic_robustness,20260829,fold_5,0.8300000000000001,0.83,0.8837209302325582,0.76,0.8172043010752689,0.8924,0.919894014900636,45,5,12,38
posthoc_geographic_robustness,20260830,fold_1,0.8055555555555556,0.8055555555555556,0.8,0.8148148148148148,0.8073394495412844,0.906721536351166,0.9216051678169137,43,11,10,44
posthoc_geographic_robustness,20260830,fold_2,0.8679245283018868,0.8679245283018868,0.8545454545454545,0.8867924528301887,0.8703703703703703,0.9334282662869349,0.9497372879797261,45,8,6,47
posthoc_geographic_robustness,20260830,fold_3,0.8,0.8,0.875,0.7,0.7777777777777778,0.8996,0.9102116273802221,45,5,15,35
posthoc_geographic_robustness,20260830,fold_4,0.8518518518518519,0.8518518518518519,0.8958333333333334,0.7962962962962963,0.8431372549019608,0.9492455418381345,0.9520166667002854,49,5,11,43
posthoc_geographic_robustness,20260830,fold_5,0.8300000000000001,0.83,0.8666666666666667,0.78,0.8210526315789474,0.8923999999999999,0.9217429877215852,44,6,11,39
posthoc_geographic_robustness,20260831,fold_1,0.8240740740740741,0.8240740740740741,0.8181818181818182,0.8333333333333334,0.8256880733944955,0.9098079561042524,0.9256679870967232,44,10,9,45
posthoc_geographic_robustness,20260831,fold_2,0.8679245283018868,0.8679245283018868,0.8679245283018868,0.8679245283018868,0.8679245283018868,0.9373442506229975,0.9549860813616656,46,7,7,46
posthoc_geographic_robustness,20260831,fold_3,0.8200000000000001,0.82,0.9,0.72,0.8,0.892,0.9060722562963776,46,4,14,36
posthoc_geographic_robustness,20260831,fold_4,0.8518518518518519,0.8518518518518519,0.8958333333333334,0.7962962962962963,0.8431372549019608,0.9420438957475995,0.9466434638883062,49,5,11,43
posthoc_geographic_robustness,20260831,fold_5,0.8500000000000001,0.85,0.9069767441860465,0.78,0.8387096774193549,0.8808,0.9108843091677667,46,4,11,39
posthoc_geographic_robustness,20260901,fold_1,0.7962962962962963,0.7962962962962963,0.7857142857142857,0.8148148148148148,0.8,0.9118655692729767,0.9260633299150215,42,12,10,44
posthoc_geographic_robustness,20260901,fold_2,0.839622641509434,0.839622641509434,0.8333333333333334,0.8490566037735849,0.8411214953271028,0.9270202919188324,0.9468924279784703,44,9,8,45
posthoc_geographic_robustness,20260901,fold_3,0.8200000000000001,0.82,0.9,0.72,0.8,0.9024,0.9120708999956814,46,4,14,36
posthoc_geographic_robustness,20260901,fold_4,0.8518518518518519,0.8518518518518519,0.8958333333333334,0.7962962962962963,0.8431372549019608,0.9475308641975309,0.9501604114224002,49,5,11,43
posthoc_geographic_robustness,20260901,fold_5,0.8300000000000001,0.83,0.8666666666666667,0.78,0.8210526315789474,0.8912,0.920221907850605,44,6,11,39
posthoc_geographic_robustness,20260902,fold_1,0.7962962962962963,0.7962962962962963,0.7962962962962963,0.7962962962962963,0.7962962962962963,0.9084362139917695,0.9250927029181432,43,11,11,43
posthoc_geographic_robustness,20260902,fold_2,0.8584905660377359,0.8584905660377359,0.8392857142857143,0.8867924528301887,0.8623853211009175,0.9288002847988609,0.9444964736224777,44,9,6,47
posthoc_geographic_robustness,20260902,fold_3,0.79,0.79,0.8717948717948718,0.68,0.7640449438202247,0.8972,0.9067249065148693,45,5,16,34
posthoc_geographic_robustness,20260902,fold_4,0.8518518518518519,0.8518518518518519,0.8958333333333334,0.7962962962962963,0.8431372549019608,0.9420438957475995,0.9466010248009131,49,5,11,43
posthoc_geographic_robustness,20260902,fold_5,0.8400000000000001,0.84,0.8863636363636364,0.78,0.8297872340425532,0.888,0.9156558873307469,45,5,11,39
