analysis_label,training_fraction,fold,train_n,train_positive_n,train_background_n,training_related_units,balanced_accuracy,accuracy,precision,recall,f1,roc_auc,average_precision,tn_background_correct,fp_background_predicted_positive,fn_positive_predicted_background,tp_positive_correct
posthoc_geographic_robustness,1.0,fold_1,414,207,207,203,0.7962962962962963,0.7962962962962963,0.7857142857142857,0.8148148148148148,0.8,0.9142661179698217,0.9279695412513933,42,12,10,44
posthoc_geographic_robustness,1.0,fold_2,416,208,208,202,0.839622641509434,0.839622641509434,0.8214285714285714,0.8679245283018868,0.8440366972477065,0.9302242791028836,0.9476918704920381,43,10,7,46
posthoc_geographic_robustness,1.0,fold_3,422,211,211,207,0.79,0.79,0.8717948717948718,0.68,0.7640449438202247,0.9027999999999999,0.9070699798338899,45,5,16,34
posthoc_geographic_robustness,1.0,fold_4,414,207,207,200,0.8611111111111112,0.8611111111111112,0.8979591836734694,0.8148148148148148,0.8543689320388349,0.9413580246913581,0.9462940976132816,49,5,10,44
posthoc_geographic_robustness,1.0,fold_5,422,211,211,204,0.8300000000000001,0.83,0.8837209302325582,0.76,0.8172043010752689,0.8924,0.919894014900636,45,5,12,38
posthoc_geographic_robustness,0.75,fold_1,312,156,156,152,0.8240740740740741,0.8240740740740741,0.8070175438596491,0.8518518518518519,0.8288288288288288,0.9046639231824417,0.9208534480117422,43,11,8,46
posthoc_geographic_robustness,0.75,fold_2,316,158,158,152,0.8113207547169812,0.8113207547169812,0.7704918032786885,0.8867924528301887,0.8245614035087719,0.9295122819508721,0.9481590326332157,39,14,6,47
posthoc_geographic_robustness,0.75,fold_3,318,159,159,155,0.8,0.8,0.875,0.7,0.7777777777777778,0.8951999999999999,0.9026218900551151,45,5,15,35
posthoc_geographic_robustness,0.75,fold_4,308,154,154,150,0.8703703703703703,0.8703703703703703,0.9347826086956522,0.7962962962962963,0.86,0.9489026063100138,0.9550630368149604,51,3,11,43
posthoc_geographic_robustness,0.75,fold_5,320,160,160,153,0.8400000000000001,0.84,0.8863636363636364,0.78,0.8297872340425532,0.8855999999999999,0.9201266407543237,45,5,11,39
posthoc_geographic_robustness,0.5,fold_1,210,105,105,102,0.8240740740740741,0.8240740740740741,0.7966101694915254,0.8703703703703703,0.831858407079646,0.9104938271604938,0.924896142058653,42,12,7,47
posthoc_geographic_robustness,0.5,fold_2,210,105,105,101,0.8490566037735849,0.8490566037735849,0.8245614035087719,0.8867924528301887,0.8545454545454545,0.9124243503025988,0.9282015116664393,43,10,6,47
posthoc_geographic_robustness,0.5,fold_3,210,105,105,104,0.81,0.81,0.918918918918919,0.68,0.7816091954022989,0.8835999999999999,0.8993790339494737,47,3,16,34
posthoc_geographic_robustness,0.5,fold_4,204,102,102,100,0.8518518518518519,0.8518518518518519,0.8958333333333334,0.7962962962962963,0.8431372549019608,0.9351851851851851,0.9398864509236438,49,5,11,43
posthoc_geographic_robustness,0.5,fold_5,212,106,106,102,0.8500000000000001,0.85,0.9069767441860465,0.78,0.8387096774193549,0.9056,0.928099482558625,46,4,11,39
posthoc_geographic_robustness,0.25,fold_1,102,51,51,51,0.8148148148148149,0.8148148148148148,0.8035714285714286,0.8333333333333334,0.8181818181818182,0.906721536351166,0.921083192245558,43,11,9,45
posthoc_geographic_robustness,0.25,fold_2,102,51,51,50,0.7830188679245282,0.7830188679245284,0.7272727272727273,0.9056603773584906,0.8067226890756303,0.8814524741901032,0.8653352018668143,35,18,5,48
posthoc_geographic_robustness,0.25,fold_3,108,54,54,52,0.78,0.78,0.868421052631579,0.66,0.75,0.8844000000000001,0.9019312216046294,45,5,17,33
posthoc_geographic_robustness,0.25,fold_4,100,50,50,50,0.8333333333333333,0.8333333333333334,0.875,0.7777777777777778,0.8235294117647058,0.9214677640603567,0.9383638430219672,48,6,12,42
posthoc_geographic_robustness,0.25,fold_5,108,54,54,51,0.8200000000000001,0.82,0.8333333333333334,0.8,0.8163265306122449,0.8772000000000001,0.9110685295273019,42,8,10,40
