sample_id,nhle_list_entry,geographic_group_id,terrain_provenance_id,survey_year,source_resolution_m,processing_version,patch_size_m,acquisition_status,raw_qa_status,representation_qa_status,representations,qa_status,raw_sha256,patch_sha256,processed_sha256,cross_cell,overlap_group_id
E001P-004c14bbcf5c,1016825,BNG_100KM_E3_N2,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,80d4c62d1af577793f89ce4f1859f29b280d8eb57a5c8bebf06fa12a7d1e68ba,260c3fd20369442988c3bb93b155fa2ba202388f753b20c52fd5d996e7f61d83,261071e19056ef3d2ba42f68c635ffcc9a2c9b0198b7780ec35e0e9d765466a5,False,
E001P-02cd97c70290,1007352,BNG_100KM_E3_N2,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,d39ed10a6a865a87de6d7c3b869797701f06091e9d0b0fd31a326dfcfaddd7c3,c5368215962add111618164165587963f1be46985a3a4eae34ec303e22cbf851,b9ef367d087a6ad25009a6f07c770ddc7bf12d0528633b69553efb891e5591dc,False,
E001P-032894b74d2c,1009113,BNG_100KM_E3_N4,EAP-c590a5cb0139,2020,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,339981d51d0deb846557e24f2bef0c8cb147ec2fd830d6682d4cadb6e535626a,01cfccdf248ff4dccdb73fdac216c337b16814f8f97f0982ce6f69227579150f,631d8a77bdea8bfa446e57613337f1865aaba820dc06281b13c25e4b9e431443,False,
E001P-034ad4361818,1007604,BNG_100KM_E3_N5,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,79fba4f443e879ed7d6cda9967dbcd84f44c0c3926bad80b90cc49f919f6d6f6,1839049b4a054510ff3421ec5795a5cd338797d5ac418cd1a8d6da2c95de687c,0ef646d891cb87b241e520b00e124a42eb9b5ebb88d02197001467c2ed7394dc,False,
E001P-0391c71dfabf,1013144,BNG_100KM_E6_N1,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,c791a57df3a0974292c2f8651b1e8981f864b34c74e95d3f91d8e7ab2c50ff80,1ce6419d3a8971654d785de56370d222309c92f6fc8837c8aea090c71fb083d5,843d4af6cbbcbe4e86da244d6a274c4047f30d4206c4f978e1404f3f0d294a5d,False,
E001P-03e6bb61208b,1004414,BNG_100KM_E2_N0,EAP-d3a871d4f09e,2019,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,9bb3f0195a701670808cd7040e21363e310ea81910b366b6da8ffd6bdbc51d74,2261a4d2b5d140b8ba05841929281b5913982de3c0a6f88a1278f16c36541346,d5fe505034c4f90528580809737e7c9c09ae955cf95e4a09055a3ce9143b1dc9,False,
E001P-058d5d949c4c,1015205,BNG_100KM_E4_N0,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,74c7f351e7e31f7d5394814d41d36256c3d2fe4efc2aafd40f65e563c9b5ce8e,e3c9a04ba7e321d4bc0d9172a80f910e174a9ad96126e3d416d823de3ec03279,e6becfdeeeffc946e21ed58af7a5500945077963996290e745ab7732a0ac88d0,False,
E001P-06c86e74d40a,1017975,BNG_100KM_E2_N1,EAP-a800a13742ee,2022,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,78e94b02d997cf39591f7e52b12c97a2ca1cf0c2a0ac9aaa4d0ffabd02fcb7f4,054ca1236b9d8155f31c1e333fd38fa25a34095282ca0f8ce36107d10d409d78,9274ddfb24ab6e855d5e26b8cc7e8b5bf0d6a27bc14f8853870ddc3e5e9ffcc3,False,
E001P-07f09ec5d10e,1013406,BNG_100KM_E5_N0,EAP-d3a871d4f09e,2019,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,2968922fea4b5a0d7991cdb67d83b7170e1138a8459f94b6fb1b38c2facfd984,59780c7dca31eac5ac00296fadcf9f797278ef3d43b4c383915c44c9e9cc7c2e,041bf6e5bf62709fe3f9e4acbe85d9f8bf8bbf10bff09f6f8ec513d63ef0b18e,False,E001O-bfb367ad9636
E001P-0922b5ae5836,1007533,BNG_100KM_E4_N4,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,d3af2d2eaadb562bccdd9979b69a9fd75c4a01aaa178faa1daba680ac187faf1,3fe37e590e83deedfdc6856f46c4cfaf09a586789fa58353b2f1adc2906bc93f,49849382d88760f66b699cda37802f4fd9a3049d645dc7ffd05803b5dc4c54e3,False,
E001P-09ba26473d2a,1013883,BNG_100KM_E5_N1,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,1318c4b639442ff833c12855679ce3d36c2249800a57cc710c8ab36a6643db61,3e808e5c73a15f87d4ad4f90e7af8438e5ee77adf0f2c581d062d6e9b6f4f930,f97079f74682f532963dc1b7878aa1937111c6d05c5a4c93c0fcc4a3c7729c14,False,
E001P-09fae9b51dad,1011280,BNG_100KM_E4_N5,EAP-d85b0f0821f9,2018,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,6a6456ef92b33676549cb376b0ab8366125a0fda2f7df0f86c63b65781ffd5d1,10528d47c95ebeeb15d4e34610ae75fad17033d6bc4a7d1f15d5275e2daeea70,329e32deaef78f4dc47930855077681e033a45ce71c493e3e1395eb9e547946e,False,
E001P-0a2f9ca4f569,1009428,BNG_100KM_E5_N2,EAP-d3a871d4f09e,2019,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,0bde027b6d6116358c8512fc5f5693395843c49f248243d8e472284a7e1bc571,2bd623e8d786f66cde37f122651136d768c8aeb43fffe58847d720dc5ff53d8a,5bae64af1170c5621b9f0c12a3ca1726dff7dca227c03a6e542f0ec902c55c70,False,
E001P-0a3bf5c088b1,1016009,BNG_100KM_E4_N0,EAP-71ad6a50942e,2021,1.0,e001-terrain-v1,128,verified,pass,pass,elevation_normalized;slope_degrees;hillshade_315_45;local_relief_r16m,pass,04217325d896a41798fbee12ac7486603d90010ecdd8ca88ce8d87fd0e3263f1,e77c19b129e49e9c845edf5a5c6c513f366100fae1a57904cfa6ffc220b1d9c4,ef23bc9587401d99843f10ea1f81fbf13e79a04e9e9eb10f8df587d4dbe6ee19,False,
